session_id,headset_id,participant_count,timestamp_sec,frame_rate_fps,network_latency_ms,calibration_error_mm,battery_temp_c,battery_level,scene_state,source_file
20251208_110401,H_4193,1,54.97,33.5,80.7,0.0,50.0,84,Host,session_20251208_110401_H_4193.csv
20251208_014720,H_4193,1,55.02,18.3,112.7,0.0,46.0,62,Host,session_20251208_014720_H_4193.csv
20251208_015029,H_4193,1,55.11,25.7,81.9,0.0,50.0,59,Host,session_20251208_015029_H_4193.csv
20251208_010002,H_4193,2,55.17,24.1,83.1,0.0,43.0,61,Client,session_20251208_010002_H_4193.csv
20251207_221239,H_4193,2,55.36,71.1,40.5,0.0,51.0,36,Host,session_20251207_221239_H_4193.csv
20251208_104152,H_4193,1,55.44,33.2,59.9,0.0,44.0,100,Host,session_20251208_104152_H_4193.csv
20251207_213615,H_4193,2,55.47,71.2,55.7,0.0,37.0,66,Host,session_20251207_213615_H_4193.csv
20251207_222644,H_4193,2,55.48,72.5,41.1,0.0,53.0,23,Host,session_20251207_222644_H_4193.csv
20251208_121204,H_4193,1,55.5,71.0,57.7,0.0,42.0,64,Host,session_20251208_121204_H_4193.csv
20251207_215648,H_4193,2,55.51,71.3,84.3,0.0,50.0,51,Host,session_20251207_215648_H_4193.csv
